best_cost,alpha,beta,reduction_rate,k_update,colony_size
2149,0.5,0.2,0.5,50,100
2094,0.5,0.2,0.9,50,100
2220,0.5,0.5,0.1,50,100
2120,0.5,0.5,0.5,50,100
2085,0.5,0.5,0.9,50,100
2143,0.5,0.8,0.1,50,100
2085,0.5,0.8,0.5,50,100
2085,0.5,0.8,0.9,50,100
2178,0.8,0.2,0.1,50,100
2090,0.8,0.2,0.5,50,100
2090,0.8,0.2,0.9,50,100
2090,0.8,0.5,0.1,50,100
2085,0.8,0.5,0.5,50,100
2096,0.8,0.5,0.9,50,100
2085,0.8,0.8,0.1,50,100
2085,0.8,0.8,0.5,50,100
2085,0.8,0.8,0.9,50,100
2445,0.2,0.2,0.1,5,200
2103,0.2,0.2,0.5,5,200
2085,0.2,0.2,0.9,5,200
2499,0.2,0.5,0.1,5,200
2090,0.2,0.5,0.5,5,200
2088,0.2,0.5,0.9,5,200
2323,0.2,0.8,0.1,5,200
2085,0.2,0.8,0.5,5,200
2085,0.2,0.8,0.9,5,200
2317,0.5,0.2,0.1,5,200
2085,0.5,0.2,0.5,5,200
2161,0.5,0.2,0.9,5,200
2198,0.5,0.5,0.1,5,200
2129,0.5,0.5,0.5,5,200
2151,0.5,0.5,0.9,5,200
2103,0.5,0.8,0.1,5,200
2085,0.5,0.8,0.5,5,200
2157,0.5,0.8,0.9,5,200
2100,0.8,0.2,0.1,5,200
2103,0.8,0.2,0.5,5,200
2227,0.8,0.2,0.9,5,200
2088,0.8,0.5,0.1,5,200
2142,0.8,0.5,0.5,5,200
2247,0.8,0.5,0.9,5,200
2085,0.8,0.8,0.1,5,200
2149,0.8,0.8,0.5,5,200
2094,0.8,0.8,0.9,5,200
2391,0.2,0.2,0.1,15,200
2151,0.2,0.2,0.5,15,200
2090,0.2,0.2,0.9,15,200
2371,0.2,0.5,0.1,15,200
2085,0.2,0.5,0.5,15,200
2085,0.2,0.5,0.9,15,200
2237,0.2,0.8,0.1,15,200
2085,0.2,0.8,0.5,15,200
2085,0.2,0.8,0.9,15,200
2323,0.5,0.2,0.1,15,200
2090,0.5,0.2,0.5,15,200
2103,0.5,0.2,0.9,15,200
2184,0.5,0.5,0.1,15,200
2085,0.5,0.5,0.5,15,200
2090,0.5,0.5,0.9,15,200
2142,0.5,0.8,0.1,15,200
2085,0.5,0.8,0.5,15,200
2085,0.5,0.8,0.9,15,200
2085,0.8,0.2,0.1,15,200
2090,0.8,0.2,0.5,15,200
2103,0.8,0.2,0.9,15,200
2085,0.8,0.5,0.1,15,200
2085,0.8,0.5,0.5,15,200
2090,0.8,0.5,0.9,15,200
2085,0.8,0.8,0.1,15,200
2085,0.8,0.8,0.5,15,200
2090,0.8,0.8,0.9,15,200
2646,0.2,0.2,0.1,50,200
2248,0.2,0.2,0.5,50,200
2271,0.2,0.2,0.9,50,200
2410,0.2,0.5,0.1,50,200
2233,0.2,0.5,0.5,50,200
2155,0.2,0.5,0.9,50,200
2369,0.2,0.8,0.1,50,200
2118,0.2,0.8,0.5,50,200
2085,0.2,0.8,0.9,50,200
2356,0.5,0.2,0.1,50,200
2085,0.5,0.2,0.5,50,200
2090,0.5,0.2,0.9,50,200
2160,0.5,0.5,0.1,50,200
2085,0.5,0.5,0.5,50,200
2085,0.5,0.5,0.9,50,200
2149,0.5,0.8,0.1,50,200
2085,0.5,0.8,0.5,50,200
2085,0.5,0.8,0.9,50,200
2131,0.8,0.2,0.1,50,200
2085,0.8,0.2,0.5,50,200
2090,0.8,0.2,0.9,50,200
2085,0.8,0.5,0.1,50,200
2085,0.8,0.5,0.5,50,200
2085,0.8,0.5,0.9,50,200
2085,0.8,0.8,0.1,50,200
2085,0.8,0.8,0.5,50,200
2085,0.8,0.8,0.9,50,200
